JUIÀ;AJUNTAMENT DE JUIÀ (BAIXOS);CARRE BAIX NUM: 10 - JUIÀ (17462)
LLADÓ;SALA DE SANT JOAN;PLAÇA PRIORAT NUM: 4 - LLADÓ (17745)
LLAGOSTERA;I.E.S. DE LLAGOSTERA;AV GIRONES NUM: 51 - LLAGOSTERA (17240)
LLAMBILLES;AJUNTAMENT DE LLAMBILLES;PLAÇA VILA (DE LA) NUM: 1 - LLAMBILLES (17243)
LLANARS;ESCOLES NACIONALS;CARRE QUINTA NUM: 2 - LLANARS (17869)
LLANÇÀ;CASA DE CULTURA;PLAÇA MAJOR NUM: 3 - VILA (LA) - LLANÇÀ (17490)
LLANÇÀ;CASA DEL MAR DE L’INSTITUT SOCIAL MARINA;CARRE CASTELLAR NUM: 27 - CASC URBA - PORT (EL) - LLANÇÀ (17490)
LLANÇÀ;COL·LEGI POMPEU FABRA;PLAÇA ESPLANES S/N - VILA (LA) - LLANÇÀ (17490)
LLERS;AJUNTAMENT DE LLERS;CARRE SANT QUIRZE NUM: 16 - LLERS (17730)
LLÍVIA;AJUNTAMENT DE LLÍVIA;C/ FORNS (DELS) NUM: 10 - LLÍVIA (17527)
LLORET DE MAR;CASA DE LA CULTURA;PLAÇA PERE TORRENT NUM: 1 - LLORET DE MAR (17310)
LLORET DE MAR;ESCOLA ESTEVE CARLES;C OLIVA NUM: 2 - LLORET DE MAR (17310)
LLORET DE MAR;ESCOLA PERE TORRENT;C ESPORTS S/N - LLORET DE MAR (17310)
LLORET DE MAR;ESCOLA POMPEU FABRA;AV CAMI DE L’ANGEL NUM: 6 - LLORET DE MAR (17310)
LLOSSES (LES);CASA AJUNTAMENT;VENAT SANTA MARIA DE LES LLOSSES S/N - LLOSSES (LES) (17512)
MAÇANET DE CABRENYS;AJUNTAMENT DE MAÇANET DE CABRENYS (BAIXOS);CARRE PARET NOVA NUM: 14 - MAÇANET DE CABRENYS (17720)
MAÇANET DE LA SELVA;PAVELLÓ ESPORTIU;PG SANT LLORENÇ NUM: 3 - MAÇANET DE LA SELVA (17412)
MADREMANYA;AJUNTAMENT DE MADREMANYA;PLAÇA MAJOR NUM: 1 - MADREMANYA (17462)
MAIÀ DE MONTCAL;CASA CONSISTORIAL;CARRE NOSTRA SRA. DEL MONT NUM: 12 - MAIÀ DE MONTCAL (17851)
MASARAC;AJUNTAMENT DE MASARAC;PLAÇA MAJOR NUM: 1 - MASARAC (17763)
MASSANES;LOCAL SOCIAL;C/ MONTSENY NUM: 1 - MASSANES (CASC URBA) - MASSANES (17452)
MERANGES;AJUNTAMENT DE MERANGES (BAIXOS);CARRE CAMI DE GIRUL S/N - MERANGES (17539)
