PUIGGROS;CASAL CULTURAL;CARRER NOU, S/N
PUIGVERD D'AGRAMUNT;CONSULTORI MEDIC;CARRER CENDRA, 5
PUIGVERD DE LLEIDA;ESCOLA SANT JORDI;CARRER LLEIDA, 65
RIALP;AJUNTAMENT - SALA DE PLENS, PLANTA 1ª;PLAÇA DEL TORNALL, 1
RIBERA D'ONDARA;AJUNTAMENT;CARRER RAVAL DEL PONT, 6 -SANT ANTOLI I VILANOVA-
RIBERA D'URGELLET;CASA CONSISTORIAL;CTRA LLEIDA, S/N -EL PLA DE SANT TIRS-
RINER;CASA GRAN DEL MIRACLE;CASA GRAN, S/N -EL MIRACLE-
RIU DE CERDANYA;SALA SOCIAL DE L'AJUNTAMENT;PLAÇA DE L'AJUNTAMENT, 1
ROSSELLO;EDIFICI AJUNTAMENT DE ROSSELLO;AVGDA CATALUNYA, 2
SALAS DE PALLARS;EDIFICI 'LO CASAL';CARRER BON JESUS, 5
SANAUJA;ESCOLA PUBLICA;PG RONDA, S/N
SANT ESTEVE DE LA SARGA;CASA CONSISTORIAL;CASA CONSISTORIAL, S/N
SANT GUIM DE FREIXENET;COL·LEGI PUBLIC L'ESTEL (MENJADOR);PLAÇA DE LA SEGARRA, S/N
SANT GUIM DE LA PLANA;BAIXOS DE L'AJUNTAMENT DE SANT GUIM;CTRA GUISSONA, 1
SANT LLORENÇ DE MORUNYS;AJUNTAMENT DE SANT LLORENÇ DE MORUNYS;CARRER DE JOSEP CIRERA, 1
SANT MARTI DE RIUCORB;OFICINES DE L'AJUNTAMENT;PLAÇA MAJOR, S/N -SANT MARTI DE MALDA-
SANT RAMON;LOCAL POLIVALENT;AV DE LA FONT, 1
SARROCA DE BELLERA;AJUNTAMENT DE SARROCA;CARRER UNIC, S/N
SARROCA DE LLEIDA;CASA CONSISTORIAL - SALA D'ACTES;CARRER MONSENYOR VILAPLANA, 30
SENTERADA;AJUNTAMENT;PLAÇA L'AJUNTAMENT, S/N
SENTIU DE SIÓ (LA);AULA DEL COL·LEGI PUBLIC;CARRER LES ESCOLES, 4
SEROS;I.E.SDE SEROS;PLAÇA DE LES ESCOLES, 1
SEU D'URGELL (LA);CENTRE CIVIC EL PASSEIG;CARRER LLUIS DE SABATER, 4
SEU D'URGELL (LA);SALA CULTURAL SANT DOMENEC;CARRER SANT DOMENEC, 2
SEU D'URGELL (LA);BAIXOS CENTRE CULTURAL LES MONGES;PLAÇA MONGES, 2
SEU D'URGELL (LA);COL·LEGI LA SALLE;CARRER SANT JOAN BAPTISTA DE LA SALLE, 51
SEU D'URGELL (LA);CENTRE CIVIC DE L'ESCORXADOR;CAMI PALANCA, 33
SEU D'URGELL (LA);LOCAL SOCIAL DE CASTELLCIUTAT;PLCET AJUNTAMENT, 4 -CASTELLCIUTAT-
SEU D'URGELL (LA);ARXIU COMARCAL;CARRER SANT ERMENGOL, 71
SIDAMON;L'ESCOLA PUBLICA;CARRER CARRETERA, 21
SOLERAS (EL);EDIFICI AJUNTAMENT;CTRA BELLPUIG, 23
SOLSONA;SALA POLIVALENT;CARRER GAUDI, 2
SORIGUERA;CASA CONSISTORIAL - BAIXOS;PLAÇA MARE DE DEU DE MEDINA, S/N -VILAMUR-
SORT;LOCAL DEL CASAL DE GENT GRAN;CARRER DRCARLES POL I ALEU, 8
SOSES;CENTRE CIVIC;PLAÇA AJUNTAMENT, 4
SUDANELL;SALA D'ACTES DE L'AJUNTAMENT;PLAÇA AJUNTAMENT, 4
SUNYER;CASA DE LA VILA;AV DE LES GARRIGUES, S/N
TALARN;AJUNTAMENT - BAIXOS;CARRER PAU COLL, 3
TALAVERA;CONSULTORIO MEDICO;CARRER COSTA, S/N
TARREGA;AJUNTAMENT;PL MAJOR, 1
TARREGA;MUSEU COMARCAL DE L'URGELL;C/ MAJOR, 11
TARREGA;INSTITUT BATXMANUEL DE PEDROLO;AV TARRAGONA, 2
TARREGA;COL·LEGI PUBLIC JACINT VERDAGUER;C/ RAMON I CAJAL, 10
TARREGA;COL·LEGI SANT JOSEP;C/ MARE VEDRUNA, S/N
TARREGA;COL·LEGI PUBLIC ANGEL GUIMERA;C/ ARQUITECTE FLORENSA, 24
TARREGA;ESCOLA ANGLO-FRANCESA;C/ RAMON CARNICER, 1
TARREGA;ESCOLA ALBA;PG SIMO CANET, S/N
TARREGA;ESCOLA PIA;PL PARE CARLES PERELLO, 1
TARREGA;CENTRE D'ENTITATS;C/ SEGLE XX, 2
TARRES;CASA DE LA VILA;CARRER MONTSERRAT, 17
TARROJA DE SEGARRA;CASA CONSISTORIAL;CTRA GUISSONA A CERVERA, S/N
TERMENS;EDIFICI AJUNTAMENT;PLAÇA CATALUNYA, 1
TIRVIA;EDIFICI ESCOLA;CARRER ESCOLES, S/N
TIURANA;AJUNTAMENT TIURANA-SOLES;AJUNTAMENT TIURANA-SOLES, S/N
