MUNICIPI;LOCALS EN QUE SE CELEBRA LA VOTACIÓ;DIRECCIÓ
FONOLLOSA;AJUNTAMENT DE FONOLLOSA;C ESGLÉSIA S/N,08259 FONOLLOSA
FONOLLOSA;CAP DE FALS;C ESCOLES S/N,FALS 08259 FONOLLOSA
FONOLLOSA;CAP DE CANET DE FALS;C PLA DE LA VILA S/N,CANET DE FALS 08259 FONOLLOSA
FONT-RUBÍ;CENTRE RECREATIU;AV CATALUNYA NUM: 45,GUARDIOLA DE FONT-RUBÍ GUARDIOLA 08736 FONT-RUBÍ
FRANQUESES DEL VALLÈS (LES);CEIP JOAN SANPERA I TORRAS;C JOAN MARAGALL NUM: 13,CORRO D'AVALL 08520 FRANQUESES DEL VALLÈS (LES)
FRANQUESES DEL VALLÈS (LES);ANTIC COL.LEGI BELLAVISTA;C ROSSELLO NUM: 35,BELLAVISTA 08521 FRANQUESES DEL VALLÈS (LES)
FRANQUESES DEL VALLÈS (LES);ESCOLA GUERAU DE LIOST;C RIERA NUM: 4,CORRO D'AVALL 08520 FRANQUESES DEL VALLÈS (LES)
FRANQUESES DEL VALLÈS (LES);CEIP JOAN CAMPS I GIRÓ;C ASTURIAS NUM: 2,BELLAVISTA 08521 FRANQUESES DEL VALLÈS (LES)
FRANQUESES DEL VALLÈS (LES);CEIP JOAN SANPERA I TORRAS;C JOAN MARAGALL NUM: 13,CORRO D'AVALL 08520 FRANQUESES DEL VALLÈS (LES)
FRANQUESES DEL VALLÈS (LES);ESCOLA GUERAU DE LIOST;C RIERA NUM: 4,CORRO D'AVALL 08520 FRANQUESES DEL VALLÈS (LES)
FRANQUESES DEL VALLÈS (LES);ANTIGA ESCOLA DE LLERONA;. CAN TONI S/N,LLERONA 08520 FRANQUESES DEL VALLÈS (LES)
FRANQUESES DEL VALLÈS (LES);ANTIGA ESCOLA DE CORRO D'AMUNT;CTRA FRANQUESES A CANOVES (LES) S/N,CORRO D'AMUNT 08520 FRANQUESES DEL VALLÈS (LES)
FRANQUESES DEL VALLÈS (LES);ANTIGA ESCOLA DE MARATA;PL MARATA S/N,MARATA 08520 FRANQUESES DEL VALLÈS (LES)
GALLIFA;CASA DE LA VILA;PL AJUNTAMENT S/N,08146 GALLIFA
GARRIGA (LA);ESCOLA MUNICIPAL D'ENSENYAMENT;C NEGOCIANT NUM: 79,08530 GARRIGA (LA)
GARRIGA (LA);ESCOLA ELS PINETONS;PG CONGOST NUM: 8,08530 GARRIGA (LA)
GARRIGA (LA);ESCOLA MUNICIPAL DE MUSICA;PL JOSEP MAURI SERRA NUM: 1,08530 GARRIGA (LA)
GARRIGA (LA);CASAL DE JOVES;C SANT FRANCESC NUM: 14,08530 GARRIGA (LA)
GARRIGA (LA);ESCOLA GIROI;C SANTA MARIA DEL CAMÍ NUM: 54,08530 GARRIGA (LA)
GAVÀ;CENTRE CULTURAL;C SARRIA NUM: 11,08850 GAVÀ
GAVÀ;CASAL SANT JORDI;RBLA JOAQUIM VAYREDA NUM: 31,08850 GAVÀ
GAVÀ;COL.LEGI IMMACULADA CONCEPCIO;PL ESGLESIA (L') NUM: 2,08850 GAVÀ
GAVÀ;SERVEI D'INFORMACIÓ I ATENCIÓ A LES DONES;C GENERALITAT DE CATALUNYA NUM: 7,08850 GAVÀ
GAVÀ;CENTRE CULTURAL;C SARRIA NUM: 11,08850 GAVÀ
GAVÀ;CASAL AMERICAN LAKE;C CASTELLDEFELS NUM: 11,08850 GAVÀ
GAVÀ;CENTRE CIVIC GAVA MAR;C TELLINAIRES NUM: 55,08850 GAVÀ
GAVÀ;ESCOLA L'ERAMPRUNYÀ;AV ERAMPRUNYA (L') NUM: 1,08850 GAVÀ
GAVÀ;COL.LEGI SAGRADA FAMILIA;RBLA POMPEU FABRA NUM: 130,08850 GAVÀ
GAVÀ;ESCOLA SALVADOR LLUCH;C SANT JOAN NUM: 27,08850 GAVÀ
GAVÀ;PAVELLO SALA DE BARRI;RBLA POMPEU FABRA NUM: 144,08850 GAVÀ
GAVÀ;ESCOLA MARIA FELIP;AV ERAMPRUNYA (L') NUM: 44,08850 GAVÀ
GAVÀ;INSTITUT DE BRUGUERS;C JAUME I NUM: 4,08850 GAVÀ
GAVÀ;COL.LEGI SAGRADA FAMILIA;RBLA POMPEU FABRA NUM: 130,08850 GAVÀ
GAVÀ;ESCOLA SALVADOR LLUCH;C SANT JOAN NUM: 27,08850 GAVÀ
GAVÀ;CASAL MUNICIPAL DE CAN TRIES;C RIU BESOS NUM: 7,08850 GAVÀ
GAVÀ;ESCOLA JACME MARCH;C SANT PERE NUM: 114,08850 GAVÀ
GAVÀ;INSTITUT EL CALAMOT;AV JOAN CARLES I NUM: 62,08850 GAVÀ
GAVÀ;ESCOLA JACME MARCH;C SANT PERE NUM: 114,08850 GAVÀ
GAVÀ;INSTITUT EL CALAMOT;AV JOAN CARLES I NUM: 62,08850 GAVÀ
GAVÀ;ESCOLA JACME MARCH;C SANT PERE NUM: 114,08850 GAVÀ
GAVÀ;COL.LEGI SANTO ANGEL;AV BOBILES (DE LES) NUM: 1,08850 GAVÀ
GAVÀ;ACADEMIA NURIA;C MONTFLORIT NUM: 47,08850 GAVÀ
GAVÀ;AA.VV. AUSIAS MARCH;C APEL.LES MESTRES NUM: 55,08850 GAVÀ
GAIÀ;CASA CONSISTORIAL;PL AJUNTAMENT NUM: 1,08672 GAIÀ
GELIDA;C.P. MONTCAU;PG CIRCUMVAL·LACIÓ S/N,08790 GELIDA
GELIDA;IES GELIDA;C JOAN PASCUAL I BATLLE NUM: 1,08790 GELIDA
GIRONELLA;EDIFICI DEL CAU;PL ESGLÉSIA S/N,08680 GIRONELLA
GIRONELLA;LLAR D'INFANTS ESTEL;PL ESTACIÓ (DE L') S/N,08680 GIRONELLA
GIRONELLA;ESC. GRAD. MIXTA DE BASSACS;C MIQUEL MARTÍ I POL NUM: 2,BASSACS 08680 GIRONELLA
GISCLARENY;BAIXOS AJUNTAMENT;PL ROSER S/N,08695 GISCLARENY
GRANADA (LA);CENTRE CIVIC;CTRA SANTA FE DEL PENEDÈS S/N,08792 GRANADA (LA)
GRANERA;EL CASAL;CAMI CLOTA S/N,08183 GRANERA
GRANOLLERS;EDIFICI GRA;PL ESGLESIA NUM: 8,08401 GRANOLLERS
GRANOLLERS;LOCAL MUNICIPAL SOTA CAMI RAL;AV ENRIC PRAT DE LA RIBA NUM: 82,08401 GRANOLLERS
GRANOLLERS;ESCOLA MUNICIPAL DE TREBALL;C ROGER DE FLOR NUM: 66,08401 GRANOLLERS
GRANOLLERS;ESCOLA SALVADOR LLOBET;C ROGER DE FLOR NUM: 64,08401 GRANOLLERS
GRANOLLERS;ESCOLA FERRER I GUARDIA;C ROGER DE FLOR NUM: 123,08401 GRANOLLERS
GRANOLLERS;PAVELLÓ EL CONGOST;C MARIA PALAU NUM: 21,08403 GRANOLLERS
GRANOLLERS;ESCOLA FATIMA;C MARIA PALAU NUM: 2,08403 GRANOLLERS
GRANOLLERS;CENTRE CIVIC CAN GILI;C CAMI VELL LLIÇA D'AMUNT NUM: 1,08403 GRANOLLERS
GRANOLLERS;BIBLIOTECA CAN PEDRALS;C ANTONI ESPI I GRAU NUM: 2,08401 GRANOLLERS
GRANOLLERS;EDIFICI CAN PUNTES;C SANTA ELISABETH NUM: 16,08401 GRANOLLERS
GRANOLLERS;ESCOLA PONENT;C RAFAEL CASANOVA NUM: 55,08401 GRANOLLERS
GRANOLLERS;CENTRE CIVÍC NORD;C LLEDONER NUM: 6,08401 GRANOLLERS
GRANOLLERS;CASINO DE GRANOLLERS;C AGUSTI VINYAMATA NUM: 21,08402 GRANOLLERS
GRANOLLERS;LOCAL MUNICIPAL GRANOLLERS NORD;C FIGUERES NUM: 15,08402 GRANOLLERS
GRANOLLERS;ESCOLA LLEDONER;C ROSSELLO NUM: 95,08401 GRANOLLERS
GRANOLLERS;CASAL D'AVIS;PG MUNTANYA NUM: 23,08402 GRANOLLERS
GRANOLLERS;LOCAL MUNICIPAL FONT VERDA;PG MUNTANYA NUM: 143,08402 GRANOLLERS
GRANOLLERS;CENTRE DE SALUT MENTAL BENITO MENNI;C JOSEP MARIA DE SAGARRA NUM: 47,08402 GRANOLLERS
GRANOLLERS;COL.LEGI EDUCEM;C FRANCESC RIBAS NUM: 8,08402 GRANOLLERS
GRANOLLERS;LOCAL MUNICIPAL LLEDONER;C PRIMER MARQUES FRANQUESES NUM: 125,08401 GRANOLLERS
GRANOLLERS;ESCOLA GRANULLARIUS;C MARESME NUM: 2,08402 GRANOLLERS
GRANOLLERS;CASAL D'AVIS;PG MUNTANYA NUM: 23,08402 GRANOLLERS
GRANOLLERS;ESCOLA PIA;AV SANT ESTEVE NUM: 14,08402 GRANOLLERS
GRANOLLERS;MUSEU LA TELA;C PALAUDARIES NUM: 100,08402 GRANOLLERS
GRANOLLERS;PALAU D'ESPORTS;C VOLUNTARIS 92 NUM: 2,08402 GRANOLLERS
GRANOLLERS;ESCOLA MESTRES MONTAÑA;C ESTEVE TERRADES NUM: 62,08402 GRANOLLERS
GRANOLLERS;ESCOLA CELESTI BELLERA;C ESTEVE TERRADES NUM: 66,08402 GRANOLLERS
GRANOLLERS;CENTRE CIVIC CAN BASSA;PL JOAN OLIVER NUM: 1,08402 GRANOLLERS
GRANOLLERS;CENTRE CÍVIC PALOU;PG FRANCESC FABREGAS NUM: 43,08401 GRANOLLERS
GRANOLLERS;MASIA TRES TORRES;C MARE DE DEU DE MONTSERRAT NUM: 66,08401 GRANOLLERS
GRANOLLERS;ESCOLA JOAN SOLANS;PL SANT MIQUEL NUM: 1,08401 GRANOLLERS
GUALBA;CEIP AQUA ALBA;C EUGENI D'ORS NUM: 15,08474 GUALBA
SANT SALVADOR DE GUARDIOLA;CEIP MONTSERRAT;C MARGANELL S/N,08253 SANT SALVADOR DE GUARDIOLA
SANT SALVADOR DE GUARDIOLA;FUNDACIO MASIA DEL CALVET;C PAU CASALS S/N,CALVET (EL) 08253 SANT SALVADOR DE GUARDIOLA
GUARDIOLA DE BERGUEDÀ;CENTRE CIVIC;CTRA BAGA NUM: 15,08694 GUARDIOLA DE BERGUEDÀ
GURB;LES ESCOLES;C VALLÈS S/N,08503 GURB
HOSPITALET DE LLOBREGAT (L');POLIESPORTIU CENTRE;C RIERA DE L'ESCORXADOR NUM: 15,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');REGIDORIA DISTRICTE I;RBLA JUST OLIVERAS NUM: 23,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');CASAL D'AVIS;C JOSEP PRATS NUM: 62,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PAU SANS;PTGE MINER NUM: 25,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PATUFET S. JORDI;RBLA MARINA NUM: 413,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');POLIESPORTIU CENTRE;C RIERA DE L'ESCORXADOR NUM: 15,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');COL.LEGI SANTA MARTA;C BARCELONA NUM: 65,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');REGIDORIA DISTRICTE I;RBLA JUST OLIVERAS NUM: 23,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');COL.LEGI SANTA MARTA;C BARCELONA NUM: 65,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA JOAN MARAGALL;C MUNTANYA NUM: 13,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PAU SANS;PTGE MINER NUM: 25,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PABLO NERUDA;C CORNELLA NUM: 37,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA JOSEP JANES;AV JOSEP TARRADELLAS I JOAN NUM: 104,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PABLO NERUDA;C CORNELLA NUM: 37,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PAU SANS;PTGE MINER NUM: 25,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');INSTITUT PROVENÇANA;C SANT PIUS X NUM: 8,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA JOSEP JANES;AV JOSEP TARRADELLAS I JOAN NUM: 104,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');POLIESPORTIU CENTRE;C RIERA DE L'ESCORXADOR NUM: 15,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PATUFET S. JORDI;RBLA MARINA NUM: 413,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');CENTRE CULTURAL TECLA SALA;AV JOSEP TARRADELLAS I JOAN NUM: 50,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');INSTITUT PROVENÇANA;C SANT PIUS X NUM: 8,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA JOAN MARAGALL;C MUNTANYA NUM: 13,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');POLIESPORTIU CENTRE;C RIERA DE L'ESCORXADOR NUM: 15,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA AUSIAS MARCH;C MIQUEL PEIRO I VICTORI NUM: 45,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');CASAL D'AVIS;C JOSEP PRATS NUM: 62,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA AUSIAS MARCH;C MIQUEL PEIRO I VICTORI NUM: 45,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');REGIDORIA DISTRICTE I;RBLA JUST OLIVERAS NUM: 23,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');COL.LEGI SANTA MARTA;C BARCELONA NUM: 65,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA JOAN MARAGALL;C MUNTANYA NUM: 13,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA JOSEP JANES;AV JOSEP TARRADELLAS I JOAN NUM: 104,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PAU SANS;PTGE MINER NUM: 25,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');CENTRE CULTURAL TECLA SALA;AV JOSEP TARRADELLAS I JOAN NUM: 50,08901 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PERE LLISCART;AV DOCTOR RAMON SOLANICH I RIERA NUM: 2,08904 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');INSTITUT EUGENI D'ORS;C VALLPARDA NUM: 32,08904 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PEP VENTURA;PL GUERNICA NUM: 3,08903 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ACADEMIA CULTURA;C DOCTOR MARTI I JULIA NUM: 151,08903 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');INSTITUT EUGENI D'ORS;C VALLPARDA NUM: 32,08904 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA CHARLIE RIVEL;C LLANÇA NUM: 20,08904 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');AEC COLLBLANC-LA TORRASSA;RONDA TORRASSA NUM: 105,08903 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PEP VENTURA;PL GUERNICA NUM: 3,08903 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA CHARLIE RIVEL;C LLANÇA NUM: 20,08904 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');CENTRE CULTURAL COLLBLANC-TORRASSA;C MARE DE DEU DELS DESEMPARATS NUM: 87,08904 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PEP VENTURA;PL GUERNICA NUM: 3,08903 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');CENTRE CULTURAL COLLBLANC-TORRASSA;C MARE DE DEU DELS DESEMPARATS NUM: 87,08904 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA CHARLIE RIVEL;C LLANÇA NUM: 20,08904 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');CENTRE CULTURAL COLLBLANC-TORRASSA;C MARE DE DEU DELS DESEMPARATS NUM: 87,08904 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PEP VENTURA;PL GUERNICA NUM: 3,08903 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA RAMON Y CAJAL;C ALBEREDA NUM: 2,08904 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');CENTRE CULTURAL COLLBLANC-TORRASSA;C MARE DE DEU DELS DESEMPARATS NUM: 87,08904 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');AEC COLLBLANC-LA TORRASSA;RONDA TORRASSA NUM: 105,08903 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ACADEMIA CULTURA;C DOCTOR MARTI I JULIA NUM: 151,08903 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA RAMON Y CAJAL;C ALBEREDA NUM: 2,08904 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA SANT JAUME (FEP);C SANTIAGO APOSTOL NUM: 38,08903 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA RAMON Y CAJAL;C ALBEREDA NUM: 2,08904 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');AEC COLLBLANC-LA TORRASSA;RONDA TORRASSA NUM: 105,08903 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ACADEMIA CULTURA;C DOCTOR MARTI I JULIA NUM: 151,08903 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA POMPEU FABRA;C ROSELL NUM: 34,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');CASAL DELS ANGELS;C JANSANA NUM: 34,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');INSTITUT SANTA EULALIA;PL PIUS XII NUM: 2,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PROVENÇANA;C MARTI I CODOLAR NUM: 48,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA MILAGROS CONSARNAU;AV CARRILET NUM: 41,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA POMPEU FABRA;C ROSELL NUM: 34,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA FREDERIC MISTRAL;C ARQUITECTURA NUM: 10,08908 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA POMPEU FABRA;C ROSELL NUM: 34,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PRAT DE LA MANTA;C NATZARET NUM: 11,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA MILAGROS CONSARNAU;AV CARRILET NUM: 41,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA POMPEU FABRA;C ROSELL NUM: 34,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');CASAL DELS ANGELS;C JANSANA NUM: 34,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PROVENÇANA;C MARTI I CODOLAR NUM: 48,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA FREDERIC MISTRAL;C ARQUITECTURA NUM: 10,08908 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PROVENÇANA;C MARTI I CODOLAR NUM: 48,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');INSTITUT SANTA EULALIA;PL PIUS XII NUM: 2,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PRAT DE LA MANTA;C NATZARET NUM: 11,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');INSTITUT SANTA EULALIA;PL PIUS XII NUM: 2,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA GORNAL;AV CARMEN AMAYA NUM: 44,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PRAT DE LA MANTA;C NATZARET NUM: 11,08902 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA FOLCH I TORRES;AV ISABEL LA CATOLICA NUM: 63,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ACADEMIA SAN JAIME;C MARE DE DEU DEL CARME NUM: 2,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PAU CASALS;C ALMERIA NUM: 1,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');PARVULARI MENENDEZ PIDAL;C PEDRAFORCA NUM: 29,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ACADEMIA SAN JAIME;C MARE DE DEU DEL CARME NUM: 2,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PERE LLISCART;AV DOCTOR RAMON SOLANICH I RIERA NUM: 2,08904 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PAU VILA;C MENORCA NUM: 1,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ACADEMIA SAN JAIME;C MARE DE DEU DEL CARME NUM: 2,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');PARVULARI MENENDEZ PIDAL;C PEDRAFORCA NUM: 29,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');INSTITUT PEDRAFORCA;C ENGINYER MONCUNILL NUM: 2,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PAU VILA;C MENORCA NUM: 1,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA JOAQUIM RUYRA;C GARROFERS NUM: 27,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PAU VILA;C MENORCA NUM: 1,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');INSTITUT PEDRAFORCA;C ENGINYER MONCUNILL NUM: 2,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PAU CASALS;C ALMERIA NUM: 1,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA JOAQUIM RUYRA;C GARROFERS NUM: 27,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PAU VILA;C MENORCA NUM: 1,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA JOAQUIM RUYRA;C GARROFERS NUM: 27,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PAU CASALS;C ALMERIA NUM: 1,08905 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA OFICIAL D'IDIOMES;C ORIENTAL NUM: 21,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');INSTITUT RUBIO I ORS;C MOLI NUM: 24,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA LA CARPA;C CARPA NUM: 11,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA OFICIAL D'IDIOMES;C ORIENTAL NUM: 21,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');CENTRE DE FORMACIO D'ADULTS CAN SERRA;C ANDORRA NUM: 12,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');CENTRE CULTURAL LA BOBILA;PL BOBILA NUM: 1,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA FOLCH I TORRES;AV ISABEL LA CATOLICA NUM: 63,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');INSTITUT RUBIO I ORS;C MOLI NUM: 24,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA FOLCH I TORRES;AV ISABEL LA CATOLICA NUM: 63,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA LA CARPA;C CARPA NUM: 11,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PUIG GAIRALT;AV JOSEP MOLINS NUM: 11,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA FOLCH I TORRES;AV ISABEL LA CATOLICA NUM: 63,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA SANT JOSEP OBRER;C GRAVINA NUM: 43,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PUIG GAIRALT;AV JOSEP MOLINS NUM: 11,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA SANT JOSEP OBRER;C GRAVINA NUM: 43,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA PUIG GAIRALT;AV JOSEP MOLINS NUM: 11,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA SANT JOSEP OBRER;C GRAVINA NUM: 43,08906 HOSPITALET DE LLOBREGAT (L')
HOSPITALET DE LLOBREGAT (L');ESCOLA LA CARPA;C CARPA NUM: 11,08906 HOSPITALET DE LLOBREGAT (L')
