COD.MUN|MUNICIPI|DTE.|SECCIÓ|SUB.|MESA|COMPREN ELS ELECTORS|LOCALS EN QUE SE CELEBRA LA VOTACIÓ|DIRECCIÓ
25093|ESPOT|01|001||U|A Z|AJUNTAMENT - SALA D'ACTES|CARRER CARRETERA, S/N
25094|ESTAMARIU|01|001||U|A Z|AJUNTAMENT|AJUNTAMENT, S/N
25095|ESTARAS|01|001||U|A Z|AJUNTAMENT|PLAÇA MAJOR, 1
25096|ESTERRI D'ANEU|01|001||U|A Z|AJUNTAMENT|PLAÇA LA CLOSA, 1
25097|ESTERRI DE CARDOS|01|001||U|A Z|AJUNTAMENT|CARRER UNIC, S/N
25098|FARRERA|01|001||U|A Z|EDIFICI MUNICIPAL DE SERVEI DE BURG|PLAÇA ESCOLES, S/N -BURG-
25099|FIGOLS I ALINYA|01|001||U|A Z|EDIFICI AJUNTAMENT|PLAÇA DE L'ESGLESIA, S/N -FIGOLS-
25100|FLORESTA (LA)|01|001||U|A Z|LOCAL SOCIAL|CARRER SANT BLAI, 20
25101|FONDARELLA|01|001||U|A Z|LLAR DE JUBILATS - AJUNTAMENT|RBLA LA FONT, 26
25102|FORADADA|01|001||U|A Z|TELECLUB - AJUNTAMENT|PLAÇA MAJOR, 1
25103|FULIOLA (LA)|01|001||U|A Z|EDIFICI DE L'AJUNTAMENT|PLAÇA AJUNTAMENT, S/N
25104|FULLEDA|01|001||U|A Z|SALA DE L'AJUNTAMENT|CARRER EL FORN, 2
25105|GAVET DE LA CONCA|01|001||U|A Z|EDIFICI ANTIGUES ESCOLES DE GAVET|CARRER UNIC, S/N -GAVET-
25106|GIMENELLS I EL PLA DE LA FONT|01|001|01|A|A Z|ESCOLES GIMENELLS|CARRER LLEIDA, 6 -GIMENELLS-
25107|GIMENELLS I EL PLA DE LA FONT|01|001|02|B|A Z|ESCOLES PLA DE LA FONT|CARRER ESCOLES, 2 -PLA DE LA FONT-
25108|GOLMES|01|001||A|A L|CENTRE CIVIC - SALA DRBAIGET|CARRER MOTA, 2
25108|GOLMES|01|001||B|M Z|CENTRE CIVIC - SALA DRBAIGET|CARRER MOTA, 2
25109|GOSOL|01|001||U|A Z|SALA PLENS AJUNTAMENT|PLAÇA MAJOR, 1
25110|GRANADELLA (LA)|01|001||U|A Z|NOVES DEPENDENCIES CENTRE CIVIC|CARRER SUNYER, 16
25111|GRANJA D'ESCARP (LA)|01|001||U|A Z|BIBLIOTECA PUBLICA|PLAÇA NOVA, S/N
25112|GRANYANELLA|01|001||U|A Z|LOCAL SOCIAL DE FONOLLERES|AFORES, S/N -FONOLLERES-
25113|GRANYENA DE LES GARRIGUES|01|001||U|A Z|AJUNTAMENT|CARRER DEL PORTAL, 5
25114|GRANYENA DE SEGARRA|01|001||U|A Z|SALA D'ACTES DE L'AJUNTAMENT|PLAÇA SANT PERE, 11
25115|GUIMERA|01|001||U|A Z|OFICINA DE TURISME|CTRA TARREGA, 26
25116|GUINGUETA D'ANEU (LA)|01|001||U|A Z|EDIFICI AJUNTAMENT - BAIXOS|CARRER CARRETERA, S/N -LA GUINGUETA-
25117|GUISSONA|01|001||U|A Z|AJUNTAMENT DE GUISSONA (SALA DE PLENS)|PLAÇA DEL BISBE BENLLOCH, 1
25117|GUISSONA|01|002||A|A L|AJUNTAMENT DE GUISSONA (SALA DE PLENS)|PLAÇA DEL BISBE BENLLOCH, 1
25117|GUISSONA|01|002||B|M Z|AJUNTAMENT DE GUISSONA (SALA DE PLENS)|PLAÇA DEL BISBE BENLLOCH, 1
25117|GUISSONA|01|003||U|A Z|AJUNTAMENT DE GUISSONA (SALA DE PLENS)|PLAÇA DEL BISBE BENLLOCH, 1
25118|GUIXERS|01|001||U|A Z|AJUNTAMENT|CASA NOVA DE VALLS, S/N -VALLS-
25119|ISONA I CONCA DELLA|01|001|01|A|A Z|AJUNTAMENT|PLAÇA BISBE BADIA, 1 -ISONA-
25120|ISONA I CONCA DELLA|01|001|02|B|A Z|LOCAL DEL TELECLUB|PG DEL PRAT, S/N -FIGUEROLA D'ORCAU-
25121|IVARS D'URGELL|01|001||U|A Z|CENTRE CULTURAL I RECREATIU|PG FELIP RODES, 11
25121|IVARS D'URGELL|01|002||U|A Z|CENTRE CULTURAL I RECREATIU|PG FELIP RODES, 11
25122|IVARS DE NOGUERA|01|001||U|A Z|AJUNTAMENT|CARRER PERE, 1
25123|IVORRA|01|001||U|A Z|CENTRE SOCIAL|PLAÇA MAJOR, 1
25124|JOSA I TUIXEN|01|001||U|A Z|AJUNTAMENT DE JOSA I TUIXEN|PLAÇA SERRA DEL CADI, 1 -TUIXENT-
25125|JUNCOSA|01|001||U|A Z|AJUNTAMENT (SALA D'ACTES)|PLAÇA MAJOR, 6
25126|JUNEDA|01|001||A|A K|CEIP MANUEL ORTIZ DE JUNEDA|CARRER PRAT DE LA RIBA, S/N
25126|JUNEDA|01|001||B|L Z|CEIP MANUEL ORTIZ DE JUNEDA|CARRER PRAT DE LA RIBA, S/N
25126|JUNEDA|01|002||A|A L|CEIP MANUEL ORTIZ DE JUNEDA|CARRER PRAT DE LA RIBA, S/N
25126|JUNEDA|01|002||B|M Z|CEIP MANUEL ORTIZ DE JUNEDA|CARRER PRAT DE LA RIBA, S/N
25127|LLEIDA|01|001||A|A K|EDIFICI ANTIC DE L'AUDIENCIA|CARRER FERRAN RAMBLA, 13
25127|LLEIDA|01|001||B|L Z|EDIFICI ANTIC DE L'AUDIENCIA|CARRER FERRAN RAMBLA, 13
25128|LLEIDA|01|003||A|A L|C.E.I.P- PRINCEP DE VIANA|CARRER ANSELM CLAVE, 22
25128|LLEIDA|01|003||B|M Z|C.E.I.P- PRINCEP DE VIANA|CARRER ANSELM CLAVE, 22
25129|LLEIDA|01|004||A|A K|CENTRE CIVIC DE BALAFIA|CARRER TERRASSA, 1
25129|LLEIDA|01|004||B|L Z|CENTRE CIVIC DE BALAFIA|CARRER TERRASSA, 1
25130|LLEIDA|01|005||A|A K|C.E.I.P- GINESTA|CARRER ESCOLES, 2
25130|LLEIDA|01|005||B|L Z|C.E.I.P- GINESTA|CARRER ESCOLES, 2
25131|LLEIDA|01|006||A|A L|C.E.I.P- PARDINYES|CARRER ANASTASI PINOS, 33
25131|LLEIDA|01|006||B|M Z|C.E.I.P- PARDINYES|CARRER ANASTASI PINOS, 33
25132|LLEIDA|01|007||A|A F|INSTITUT E.SPARDINYES JOSEP LLADONOSA|PLAÇA MARIA RUBIES I GARROFE, 1
25132|LLEIDA|01|007||B|G O|INSTITUT E.SPARDINYES JOSEP LLADONOSA|PLAÇA MARIA RUBIES I GARROFE, 1
25132|LLEIDA|01|007||C|P Z|INSTITUT E.SPARDINYES JOSEP LLADONOSA|PLAÇA MARIA RUBIES I GARROFE, 1
25133|LLEIDA|01|008||A|A K|C.E.I.P- RIU SEGRE|AVGDA TORTOSA, 86
25133|LLEIDA|01|008||B|L Z|C.E.I.P- RIU SEGRE|AVGDA TORTOSA, 86
25128|LLEIDA|01|009||U|A Z|C.E.I.P- PRINCEP DE VIANA|CARRER ANSELM CLAVE, 22
25134|LLEIDA|01|010||A|A K|C.E.I.P- TERRES DE PONENT|AVGDA SANT PERE, 54
